datetime,NEE,NEE_F_MDS,FCH4,FCH4_F_MDS
2021-05-31T01:00:00Z,9.6586961,9.6586961,0.067036425,0.067036425
2021-05-31T01:30:00Z,8.330049,10.392838936458334,0.04437453,0.0827932487894737
2021-05-31T02:00:00Z,8.495193,8.495193,0.05796634,0.05796634
2021-05-31T02:30:00Z,12.001584,12.001584,0.08544477,0.08544477
2021-05-31T03:00:00Z,9.3001257,9.3001257,0.08463376,0.08463376
2021-05-31T03:30:00Z,8.989197,8.989197,0.08815249,0.08815249
2021-05-31T04:00:00Z,7.093012,7.093012,0.07075479999999999,0.07075479999999999
2021-05-31T04:30:00Z,10.148767,10.148767,0.0738177,0.0738177
2021-05-31T05:00:00Z,8.132276899999999,8.132276899999999,0.10187063,0.10187063
2021-05-31T05:30:00Z,6.6755819999999995,6.6755819999999995,0.08902047,0.08902047
2021-05-31T06:00:00Z,4.090936,4.090936,0.10137383,0.10137383
2021-05-31T06:30:00Z,NA,-2.3009432,0.08187691200000001,0.08187691200000001
2021-05-31T07:00:00Z,NA,-1.5070311466666666,0.09379306,0.09379306
2021-05-31T07:30:00Z,-1.966201,-1.966201,0.089640818,0.089640818
2021-05-31T08:00:00Z,-3.847479,-3.847479,0.09183628,0.09183628
2021-05-31T08:30:00Z,-5.512625999999999,-5.512625999999999,0.08923778,0.08923778
2021-05-31T09:00:00Z,-8.309239,-8.309239,0.11799117,0.11799117
2021-05-31T09:30:00Z,-4.922867,-4.922867,0.11142911,0.11142911
2021-05-31T10:00:00Z,-6.422746,-6.422746,0.101027,0.101027
2021-05-31T10:30:00Z,-6.766986,-6.766986,0.1186365617,0.1186365617
2021-05-31T11:00:00Z,-2.720908,-2.720908,0.13470091,0.13470091
2021-05-31T11:30:00Z,-3.285407653,-3.285407653,NA,0.1177031322
2021-05-31T12:00:00Z,-4.582104,-4.582104,0.08804896000000001,0.08804896000000001
2021-05-31T12:30:00Z,-3.5057923,-3.5057923,0.121161128,0.121161128
2021-05-31T13:00:00Z,-0.21087,-0.21087,0.13470196999999998,0.13470196999999998
2021-05-31T13:30:00Z,-1.5391338,-1.5391338,0.108737217,0.108737217
2021-05-31T14:00:00Z,-3.042411,-3.042411,0.13762877099999998,0.13762877099999998
2021-05-31T14:30:00Z,-1.0687143,-1.0687143,0.125293857,0.125293857
2021-05-31T15:00:00Z,-2.517698,-2.517698,0.1411120099,0.1411120099
2021-05-31T15:30:00Z,-0.8799453,-0.8799453,0.129196122,0.129196122
2021-05-31T16:00:00Z,-1.9130742,-1.9130742,0.145836971,0.145836971
2021-05-31T16:30:00Z,-0.4260627,-0.4260627,0.128498459,0.128498459
2021-05-31T17:00:00Z,1.6492551,1.6492551,0.11787826,0.11787826
2021-05-31T17:30:00Z,1.435106,1.435106,0.13409516,0.13409516
2021-05-31T18:00:00Z,2.503423,2.503423,0.136681483,0.136681483
2021-05-31T18:30:00Z,4.246169,4.246169,0.130392248,0.130392248
2021-05-31T19:00:00Z,4.733573,4.733573,0.106409058,0.106409058
2021-05-31T19:30:00Z,4.306963,4.306963,0.094767221,0.094767221
2021-05-31T20:00:00Z,6.397485,6.397485,0.08946006999999999,0.08946006999999999
2021-05-31T20:30:00Z,10.081549,10.081549,0.0895823,0.0895823
2021-05-31T21:00:00Z,11.372947,11.372947,0.082006885,0.082006885
2021-05-31T21:30:00Z,11.785942,11.785942,0.08226228999999999,0.08226228999999999
2021-05-31T22:00:00Z,8.192247,9.694109101,0.03423995,0.09920668865714286
2021-05-31T22:30:00Z,9.609724,10.225564167592593,0.06161295,0.1041897207631579
